Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,21/01/2019,18:00,Credit card,8.6,Yangon
319-50-3348,B,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,11/03/2019,15:30,Ewallet,4.4,Mandalay
300-71-4605,C,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,25/02/2019,11:24,Ewallet,4.8,Yangon
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,277.137,05/03/2019,10:40,Ewallet,5.1,Mandalay
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,15/03/2019,12:20,Credit card,4.4,Mandalay
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,17/02/2019,11:15,Ewallet,9.9,Yangon
549-59-1358,A,Normal,Male,Sports and travel,88.63,3,13.2945,279.1845,02/03/2019,17:36,Ewallet,6,Yangon
227-03-5010,A,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,22/03/2019,19:20,Credit card,8.5,Yangon
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,08/02/2019,15:31,Cash,6.7,Mandalay
189-17-4241,A,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,10/03/2019,12:17,Credit card,7.7,Yangon
145-94-9061,B,Normal,Male,Food and beverages,88.36,5,22.09,463.89,25/01/2019,19:48,Cash,9.6,Mandalay
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,15/03/2019,15:36,Cash,7.4,Yangon
871-79-8483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,25/02/2019,19:39,Credit card,4.8,Mandalay
149-71-6266,B,Normal,Male,Sports and travel,78.07,9,35.1315,737.7615,28/01/2019,12:43,Cash,4.5,Mandalay
640-49-2076,B,Normal,Male,Sports and travel,83.78,8,33.512,703.752,10/01/2019,14:49,Cash,5.1,Mandalay
595-11-5460,A,Normal,Male,Health and beauty,96.58,2,9.658,202.818,15/03/2019,10:12,Credit card,5.1,Yangon
183-56-6882,C,Normal,Male,Food and beverages,99.42,4,19.884,417.564,06/02/2019,10:42,Ewallet,7.5,Yangon
232-16-2483,C,Normal,Male,Sports and travel,68.12,1,3.406,71.526,07/01/2019,12:28,Ewallet,6.8,Yangon
129-29-8530,A,Normal,Male,Sports and travel,62.62,5,15.655,328.755,10/03/2019,19:15,Ewallet,7,Yangon
333-73-7901,C,Normal,Male,Health and beauty,54.92,8,21.968,461.328,23/03/2019,13:24,Ewallet,7.6,Yangon
777-82-7220,B,Normal,Male,Home and lifestyle,30.12,8,12.048,253.008,03/03/2019,13:01,Cash,7.7,Mandalay
280-35-5823,B,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,17/01/2019,18:45,Ewallet,7.9,Mandalay
554-53-8700,C,Normal,Male,Home and lifestyle,56.11,2,5.611,117.831,02/02/2019,10:11,Cash,6.3,Yangon
354-25-5821,B,Normal,Male,Sports and travel,69.12,6,20.736,435.456,08/02/2019,13:03,Cash,5.6,Mandalay
228-96-1411,C,Normal,Male,Food and beverages,98.7,8,39.48,829.08,04/03/2019,20:39,Cash,7.6,Yangon
617-15-4209,C,Normal,Male,Health and beauty,15.37,2,1.537,32.277,16/03/2019,19:47,Cash,7.2,Yangon
132-32-9879,B,Normal,Male,Electronic accessories,93.96,4,18.792,394.632,09/03/2019,18:00,Cash,9.5,Mandalay
370-41-7321,B,-,Male,Health and beauty,56.69,9,25.5105,535.7205,27/02/2019,17:24,Credit card,8.4,Mandalay
727-46-3608,B,-,Male,Food and beverages,20.01,9,9.0045,189.0945,06/02/2019,15:47,Ewallet,4.1,Mandalay
669-54-1719,B,-,Male,Electronic accessories,18.93,6,5.679,119.259,10/02/2019,12:45,Credit card,8.1,Mandalay
574-22-5561,C,-,Female,Fashion accessories,82.63,10,41.315,867.615,19/03/2019,17:08,Ewallet,7.9,Yangon
326-78-5178,C,-,Male,Food and beverages,91.4,7,31.99,671.79,03/02/2019,10:19,Cash,9.5,Yangon
162-48-8011,A,-,Female,Food and beverages,44.59,5,11.1475,234.0975,10/02/2019,15:10,Cash,8.5,Yangon
616-24-2851,B,-,Female,Fashion accessories,17.87,4,3.574,75.054,22/03/2019,14:42,Ewallet,6.5,Mandalay
778-71-5554,C,-,Male,Fashion accessories,15.43,1,0.7715,16.2015,25/01/2019,15:46,Credit card,6.1,Yangon
242-55-6721,B,-,Male,Home and lifestyle,16.16,2,1.616,33.936,07/03/2019,11:49,Ewallet,6.5,Mandalay
399-46-5918,C,-,Female,Electronic accessories,85.98,8,34.392,722.232,28/02/2019,19:01,Cash,8.2,Yangon
106-35-6779,A,-,Male,Home and lifestyle,44.34,2,4.434,93.114,27/03/2019,11:26,Cash,5.8,Yangon
635-40-6220,A,-,Male,Health and beauty,89.6,8,35.84,752.64,07/02/2019,11:28,Ewallet,6.6,Yangon
817-48-8732,A,-,Female,Home and lifestyle,72.35,10,36.175,759.675,20/01/2019,15:55,Cash,5.4,Yangon
120-06-4233,C,-,Male,Electronic accessories,30.61,6,9.183,192.843,12/03/2019,20:36,Cash,9.3,Yangon
285-68-5083,C,-,Female,Sports and travel,24.74,3,3.711,77.931,15/02/2019,17:47,Credit card,10,Yangon
803-83-5989,C,-,Male,Home and lifestyle,55.73,6,16.719,351.099,24/02/2019,10:55,Ewallet,7,Yangon
347-34-2234,B,-,Female,Sports and travel,55.07,9,24.7815,520.4115,03/02/2019,13:40,Ewallet,10,Mandalay
199-75-8169,A,-,Male,Sports and travel,15.81,10,7.905,166.005,06/03/2019,12:27,Credit card,8.6,Yangon
853-23-2453,B,-,Male,Health and beauty,75.74,4,15.148,318.108,14/02/2019,14:35,Cash,7.6,Mandalay
877-22-3308,A,-,Male,Health and beauty,15.87,10,7.935,166.635,13/03/2019,16:40,Cash,5.8,Yangon
838-78-4295,C,-,Female,Health and beauty,33.47,2,3.347,70.287,10/02/2019,15:43,Ewallet,6.7,Yangon
109-28-2512,B,-,Female,Fashion accessories,97.61,6,29.283,614.943,07/01/2019,15:01,Ewallet,9.9,Mandalay
232-11-3025,A,-,Male,Sports and travel,78.77,10,39.385,827.085,24/01/2019,10:04,Cash,6.4,Yangon
382-03-4532,A,-,Female,Health and beauty,18.33,1,0.9165,19.2465,02/02/2019,18:50,Cash,4.3,Yangon
393-65-2792,C,-,Male,Food and beverages,89.48,10,44.74,939.54,06/01/2019,12:46,Credit card,9.6,Yangon
796-12-2025,C,-,Male,Fashion accessories,62.12,10,31.06,652.26,11/02/2019,16:19,Cash,5.9,Yangon
510-95-6347,B,-,Female,Food and beverages,48.52,3,7.278,152.838,05/03/2019,18:17,Ewallet,4,Mandalay
841-35-6630,C,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,09/03/2019,18:21,Cash,8.7,Yangon
287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,22/01/2019,10:55,Ewallet,9.4,Yangon
732-94-0499,C,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,13/01/2019,17:04,Credit card,5.4,Yangon
263-10-3913,C,Member,Male,Fashion accessories,49.04,9,22.068,463.428,09/01/2019,14:20,Credit card,8.6,Yangon
381-20-0914,A,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,12/01/2019,15:48,Credit card,5.7,Yangon
829-49-1914,C,Member,Female,Food and beverages,78.31,10,39.155,822.255,05/03/2019,16:24,Ewallet,6.6,Yangon
756-01-7507,C,Normal,Female,Health and beauty,20.38,5,5.095,106.995,22/01/2019,18:56,Cash,6,Yangon
870-72-4431,C,Normal,Female,Health and beauty,99.19,6,29.757,624.897,21/01/2019,14:42,Credit card,5.5,Yangon
847-38-7188,B,Normal,Female,Food and beverages,96.68,3,14.502,304.542,26/01/2019,19:56,Ewallet,6.4,Mandalay
480-63-2856,C,Normal,Male,Food and beverages,19.25,8,7.7,161.7,23/01/2019,18:37,Ewallet,6.6,Yangon
787-56-0757,C,Member,Female,Food and beverages,80.36,4,16.072,337.512,23/02/2019,18:45,Credit card,8.3,Yangon
360-39-5055,C,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,09/03/2019,10:17,Cash,6.6,Yangon
730-50-9884,C,Normal,Female,Sports and travel,83.06,7,29.071,610.491,05/03/2019,14:31,Ewallet,4,Yangon
362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,12.18075,401.73,25/03/2019,10:23,Cash,9.9,Yangon
633-44-8566,A,Member,Male,Food and beverages,49.38,7,17.283,362.943,27/03/2019,20:35,Credit card,7.3,Yangon
504-35-8843,A,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,02/01/2019,16:57,Cash,5.7,Yangon
318-68-5053,B,Normal,Female,Health and beauty,76.99,6,23.097,485.037,27/02/2019,17:55,Cash,6.1,Mandalay
565-80-5980,C,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,23/01/2019,10:25,Cash,7.1,Yangon
225-32-0908,C,Normal,Female,Sports and travel,44.86,10,22.43,471.03,26/01/2019,19:54,Ewallet,8.2,Yangon
873-51-0671,A,Member,Female,Sports and travel,21.98,7,12.18075,161.553,10/01/2019,16:42,Ewallet,5.1,Yangon
152-08-9985,B,Member,Male,Health and beauty,64.36,9,28.962,608.202,12/03/2019,12:09,Credit card,8.6,Mandalay
512-91-0811,C,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,06/02/2019,20:05,Credit card,6.6,Yangon
594-34-4444,A,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,08/03/2019,20:38,Ewallet,7.2,Yangon
766-85-7061,B,Normal,Male,Health and beauty,87.87,10,43.935,922.635,29/03/2019,10:25,Ewallet,5.1,Mandalay
871-39-9221,C,Normal,Female,Electronic accessories,,6,12.18075,78.435,09/02/2019,13:11,Cash,4.1,Yangon
865-92-6136,A,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,23/03/2019,10:16,Ewallet,9.3,Yangon
733-01-9107,B,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,05/03/2019,18:14,Cash,7.4,Mandalay
163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,26/03/2019,19:20,Cash,4.1,Yangon
189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,01/03/2019,13:22,Cash,7.2,Yangon
551-21-3069,C,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,01/02/2019,11:27,Cash,4.9,Yangon
212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.478,367.038,28/03/2019,16:44,Cash,9.9,Yangon
716-39-1409,B,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,19/03/2019,18:19,Cash,8,Mandalay
704-48-3927,A,Member,Male,Electronic accessories,88.67,10,44.335,931.035,12/01/2019,14:50,Ewallet,7.3,Yangon
628-34-3388,C,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,05/01/2019,20:54,Credit card,7.9,Yangon
630-74-5166,A,Normal,Male,Sports and travel,62.13,6,18.639,391.419,22/03/2019,20:19,Cash,7.4,Yangon
588-01-7461,C,Normal,Female,Food and beverages,33.98,9,15.291,321.111,24/03/2019,10:43,Cash,4.2,Yangon
861-77-0145,C,Member,Male,Electronic accessories,81.97,10,40.985,860.685,03/03/2019,14:30,Cash,9.2,Yangon
479-26-8945,B,Member,Female,Sports and travel,16.49,2,1.649,34.629,05/02/2019,11:32,Ewallet,4.6,Mandalay
210-67-5886,C,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,05/02/2019,10:41,Credit card,7.8,Yangon
227-78-1148,B,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,15/02/2019,12:44,Cash,8.4,Mandalay
645-44-1170,A,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,19/01/2019,20:07,Ewallet,4.3,Yangon
237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,01/02/2019,20:31,Credit card,9.5,Yangon
225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,02/03/2019,13:01,Credit card,7.1,Yangon
291-32-1427,B,Member,Male,Fashion accessories,21.94,5,5.485,115.185,05/03/2019,12:29,Ewallet,5.3,Mandalay
659-65-8956,B,Member,Male,Fashion accessories,51.36,1,2.568,53.928,16/01/2019,15:26,Ewallet,5.2,Mandalay
642-32-2990,A,Normal,Female,Food and beverages,10.96,10,5.48,115.08,02/02/2019,20:48,Ewallet,6,Yangon
378-24-2715,B,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,20/01/2019,20:38,Ewallet,4.1,Mandalay
638-60-7125,A,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,14/02/2019,17:03,Credit card,5.2,Yangon
659-36-1684,C,Member,Male,Sports and travel,57.12,7,19.992,419.832,12/01/2019,12:02,Credit card,6.5,Yangon
219-22-9386,B,Member,Male,Sports and travel,99.96,9,44.982,944.622,09/03/2019,17:26,Credit card,4.2,Mandalay
336-78-2147,C,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,13/03/2019,19:52,Credit card,4.6,Yangon
268-27-6179,B,Member,Female,Fashion accessories,56.47,8,22.588,474.348,09/03/2019,14:57,Ewallet,7.3,Mandalay
668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,10/03/2019,18:44,Credit card,4.5,Yangon
870-54-3162,A,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,27/01/2019,13:26,Cash,9,Yangon
189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,08/01/2019,16:17,Credit card,5.9,Yangon
663-86-9076,C,Member,Female,Food and beverages,68.54,8,27.416,575.736,08/01/2019,15:57,Ewallet,8.5,Yangon
549-84-7482,B,Normal,Female,Sports and travel,90.28,9,40.626,853.146,08/02/2019,11:15,Ewallet,7.2,Mandalay
191-10-6171,B,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,25/01/2019,13:18,Cash,7.5,Mandalay
802-70-5316,A,Member,Female,Sports and travel,92.13,6,27.639,580.419,06/03/2019,20:34,Cash,8.3,Yangon
695-51-0018,B,Normal,Female,Sports and travel,34.84,4,6.968,146.328,10/02/2019,18:36,Cash,7.4,Mandalay
590-83-4591,B,Member,Male,Electronic accessories,87.45,6,26.235,550.935,17/02/2019,14:40,Credit card,8.8,Mandalay
483-71-1164,C,Normal,Female,Health and beauty,81.3,6,24.39,512.19,08/03/2019,16:43,Ewallet,5.3,Yangon
597-78-7908,C,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,18/02/2019,19:39,Cash,6.2,Yangon
700-81-1757,A,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,18/01/2019,20:59,Credit card,8.8,Yangon
354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,18/02/2019,15:39,Cash,9.8,Yangon
241-72-9525,B,Normal,Male,Sports and travel,51.91,10,25.955,545.055,16/02/2019,12:21,Cash,8.2,Mandalay
575-30-8091,A,Normal,Male,Sports and travel,72.5,8,29,609,16/03/2019,19:25,Ewallet,9.2,Yangon
731-81-9469,C,Member,Female,Sports and travel,89.8,10,44.9,942.9,23/01/2019,13:00,Credit card,5.4,Yangon
280-17-4359,C,Member,Male,Health and beauty,90.5,10,45.25,950.25,25/01/2019,13:48,Cash,8.1,Yangon
338-65-2210,C,Member,Female,Health and beauty,68.6,10,34.3,720.3,05/02/2019,19:57,Cash,9.1,Yangon
488-25-4221,C,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,22/02/2019,10:36,Credit card,8.4,Yangon
239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,21/01/2019,16:37,Ewallet,8,Yangon
458-41-1477,C,Normal,Female,Health and beauty,46.26,6,13.878,291.438,08/03/2019,17:11,Credit card,9.5,Yangon
685-64-1609,A,Member,Female,Fashion accessories,30.14,10,15.07,316.47,10/02/2019,12:28,Ewallet,9.2,Yangon
568-90-5112,C,Normal,Male,Health and beauty,66.14,4,13.228,277.788,19/03/2019,12:46,Credit card,5.6,Yangon
262-47-2794,B,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,06/03/2019,15:07,Credit card,6.2,Mandalay
238-49-0436,A,Normal,Male,Health and beauty,32.46,8,12.984,272.664,27/03/2019,13:48,Credit card,4.9,Yangon
608-96-3517,B,Member,Female,Fashion accessories,91.54,4,18.308,384.468,23/03/2019,19:20,Credit card,4.8,Mandalay
584-86-7256,C,Member,Male,Sports and travel,34.56,7,12.096,254.016,11/03/2019,16:07,Credit card,7.3,Yangon
746-94-0204,A,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,29/01/2019,11:56,Credit card,7.4,Yangon
214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.944,103.824,07/02/2019,18:23,Ewallet,9.9,Yangon
400-89-4171,C,Normal,Female,Sports and travel,80.97,8,32.388,680.148,28/01/2019,13:05,Cash,9.3,Yangon
782-95-9291,A,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,20/02/2019,15:55,Credit card,9,Yangon
279-74-2924,B,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,04/01/2019,19:40,Cash,6.1,Mandalay
307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,07/03/2019,13:58,Ewallet,97,Mandalay
743-04-1105,B,Member,Male,Health and beauty,97.22,9,43.749,918.729,30/03/2019,14:43,Ewallet,6,Mandalay
423-57-2993,B,Normal,Male,Sports and travel,93.39,6,28.017,588.357,27/03/2019,19:18,Ewallet,10,Mandalay
894-41-5205,C,Normal,Female,Food and beverages,43.18,8,17.272,362.712,19/01/2019,19:39,Credit card,8.3,Yangon
275-28-0149,A,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,25/02/2019,16:21,Cash,6,Yangon
101-17-6199,A,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,13/03/2019,19:44,Credit card,7,Yangon
423-80-0988,C,Normal,Male,Sports and travel,76.4,2,7.64,160.44,30/01/2019,19:42,Ewallet,6.5,Yangon
548-46-9322,B,Normal,Male,Food and beverages,39.9,10,19.95,418.95,20/02/2019,15:24,Credit card,5.9,Mandalay
505-02-0892,B,Member,Male,Health and beauty,42.57,8,17.028,357.588,25/02/2019,14:12,Ewallet,5.6,Mandalay
234-65-2137,C,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,16/01/2019,13:32,Cash,4.8,Yangon
687-47-8271,A,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,08/02/2019,16:20,Credit card,8.7,Yangon
796-32-9050,A,Normal,Male,Food and beverages,51.28,6,15.384,323.064,19/01/2019,16:31,Cash,6.5,Yangon
105-31-1824,A,Member,Male,Sports and travel,69.52,7,24.332,510.972,01/02/2019,15:10,Credit card,8.5,Yangon
249-42-3782,A,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,03/01/2019,11:36,Ewallet,5.5,Yangon
316-55-4634,B,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,26/01/2019,12:45,Credit card,9.4,Mandalay
733-33-4967,C,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,03/03/2019,19:17,Cash,6.3,Yangon
608-27-6295,B,Member,Male,Electronic accessories,52.89,6,15.867,333.207,19/01/2019,17:34,Credit card,9.8,Mandalay
414-12-7047,B,Normal,Male,Food and beverages,19.79,8,7.916,166.236,18/01/2019,12:04,Ewallet,8.7,Mandalay
827-26-2100,A,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,21/03/2019,16:21,Ewallet,8.8,Yangon
175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868,186.228,03/03/2019,17:01,Credit card,9.6,Yangon
139-52-2867,C,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,13/02/2019,10:50,Credit card,4.8,Yangon
407-63-8975,A,Normal,Male,Food and beverages,73.88,6,22.164,465.444,23/03/2019,19:16,Ewallet,4.4,Yangon
342-65-4817,C,Member,Male,Health and beauty,86.8,3,13.02,273.42,28/01/2019,16:47,Ewallet,9.9,Yangon
130-98-8941,C,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,09/02/2019,10:00,Cash,5.7,Yangon
434-83-9547,C,Member,Male,Food and beverages,38.47,8,15.388,323.148,23/01/2019,11:51,Cash,7.7,Yangon
851-28-6367,A,Member,Male,Sports and travel,15.5,10,7.75,162.75,23/03/2019,10:55,Ewallet,8,Yangon
824-88-3614,C,Normal,Male,Health and beauty,34.31,8,13.724,288.204,25/01/2019,15:00,Ewallet,5.7,Yangon
586-25-0848,A,Normal,Female,Sports and travel,12.34,7,4.319,90.699,04/03/2019,11:19,Credit card,6.7,Yangon
895-66-0685,B,Member,Male,Food and beverages,18.08,3,2.712,56.952,05/03/2019,19:46,Ewallet,8,Mandalay
305-14-0245,B,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,03/03/2019,19:00,Ewallet,7.5,Mandalay
732-04-5373,B,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,08/02/2019,10:53,Cash,7,Mandalay
400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,10/02/2019,12:50,Ewallet,9.9,Yangon
593-65-1552,C,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,28/01/2019,20:50,Credit card,5.9,Yangon
284-34-9626,B,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,11/02/2019,10:39,Credit card,7.2,Mandalay
437-58-8131,B,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,15/01/2019,13:41,Ewallet,4.6,Mandalay
286-43-6208,C,Normal,Female,Food and beverages,87.8,9,39.51,829.71,16/03/2019,19:08,Cash,9.2,Yangon
641-43-2399,B,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,26/01/2019,20:23,Ewallet,5.7,Mandalay
831-07-6050,A,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,19/03/2019,11:30,Credit card,9.9,Yangon
556-86-3144,C,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,13/01/2019,19:30,Cash,5,Yangon
848-24-9445,C,Member,Male,Health and beauty,43.7,2,4.37,91.77,26/03/2019,18:03,Cash,4.9,Yangon
856-22-8149,A,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,23/03/2019,10:13,Ewallet,6.1,Yangon
699-01-4164,C,Normal,Male,Health and beauty,41.5,4,8.3,174.3,12/03/2019,19:58,Credit card,8.2,Yangon
420-11-4919,C,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,17/02/2019,19:57,Credit card,5.5,Yangon
606-80-4905,C,Member,Female,Sports and travel,19.15,6,5.745,120.645,29/01/2019,10:01,Credit card,6.8,Yangon
542-41-0513,B,Member,Female,Electronic accessories,57.49,4,11.498,241.458,15/03/2019,11:57,Cash,6.6,Mandalay
426-39-2418,C,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,14/01/2019,10:02,Cash,9.8,Yangon
875-46-5808,B,Member,Male,Health and beauty,25.9,10,12.95,271.95,06/02/2019,14:51,Ewallet,8.7,Mandalay
394-43-4238,B,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,15/02/2019,12:42,Credit card,5.4,Mandalay
749-24-1565,A,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,03/01/2019,12:02,Ewallet,7.9,Yangon
672-51-8681,C,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,04/01/2019,18:19,Credit card,9.7,Yangon
263-87-5680,C,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,18/03/2019,17:38,Ewallet,7.8,Yangon
573-58-9734,B,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,28/03/2019,13:41,Ewallet,5.1,Mandalay
817-69-8206,B,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,02/03/2019,19:42,Credit card,6.5,Mandalay
888-02-0338,A,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,25/01/2019,20:24,Ewallet,5.9,Yangon
677-11-0152,C,Normal,Female,Food and beverages,93.26,9,41.967,881.307,16/01/2019,18:08,Cash,8.8,Yangon
142-63-6033,B,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,20/03/2019,19:17,Ewallet,4.9,Mandalay
656-16-1063,B,Normal,Male,Sports and travel,46.42,3,6.963,146.223,04/01/2019,13:24,Credit card,4.4,Mandalay
891-58-8335,B,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,11/03/2019,15:53,Cash,6.5,Mandalay
802-43-8934,A,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,22/03/2019,15:05,Credit card,8.3,Yangon
560-30-5617,B,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,24/03/2019,18:27,Cash,8.5,Mandalay
319-74-2561,A,Member,Female,Electronic accessories,94.64,3,14.196,298.116,21/02/2019,16:55,Cash,5.5,Yangon
549-03-9315,B,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,12/02/2019,12:58,Ewallet,8.7,Mandalay
790-29-1172,B,Normal,Female,Food and beverages,57.34,3,8.601,180.621,10/03/2019,18:59,Credit card,7.9,Mandalay
239-36-3640,B,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,31/01/2019,13:44,Ewallet,6.1,Mandalay
468-01-2051,B,Normal,Male,Food and beverages,62.08,7,21.728,456.288,06/03/2019,13:46,Ewallet,5.4,Mandalay
389-25-3394,C,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,17/02/2019,18:06,Cash,9.4,Yangon
279-62-1445,C,Member,Female,Fashion accessories,12.54,1,0.627,13.167,21/02/2019,12:38,Cash,8.2,Yangon
